chr	start	end	startCpG	endCpG	target	name	direction	bcell_all	Breast-basal	CD4T	CD8T	Kidney-podo	lsec_all_all	Lung-Ep	MK	Mono+Macro	NK	neuron_all_all	neut_all_all	breast-luminal	cardiomyocyte	cardiopulm-endo	colon-ep	endo-bulk	erythroblast	hep	pancreas-islet	skeletalmuscle
chr1	19640816	19640962	353811	353815	bcell	chr1:19640816-19640962	U	1	0	0	0	0.103	0	0	NA	1	0	0	1	0	0	0	0	0	NA	0	0	0
chr1	32250683	32250794	540584	540588	bcell	chr1:32250683-32250794	U	1	0	0	0.167	0.071	0	0.151	0.316	0.133	0	0	0.222	0.295	0	0	0.057	0	0.259	0.067	0	0.222
chr1	178512831	178512866	1633021	1633024	bcell	chr1:178512831-178512866	U	1	0	0	0	0.115	0	0	0	NA	NA	0	0	0.016	0.056	NA	0	0	0.02	0.099	0	0
chr2	30505124	30505256	2614982	2614987	bcell	chr2:30505124-30505256	U	1	0.079	0	0	0.053	0	0	0	0.571	0	0	0	0.035	0.125	0	0.021	0	0.03	0.018	0	0
chr2	33755483	33755882	2646300	2646303	bcell	chr2:33755483-33755882	U	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	0	NA
chr2	47205062	47205440	2768928	2768933	bcell	chr2:47205062-47205440	U	1	0	1	NA	0	0	NA	NA	0.5	0	0	NA	0	0.04	0	NA	0	0.091	NA	0	NA
chr2	64885338	64885612	2908958	2908964	bcell	chr2:64885338-64885612	U	1	0	0.25	0	0.136	0.027	0	0.812	0.917	0	0	1	0	0.082	0.038	0.025	0	0.394	0.012	0	0
chr3	58182186	58182212	4992239	4992242	bcell	chr3:58182186-58182212	U	1	0	0	NA	0	0	0.12	NA	NA	NA	0	NA	0	0	NA	NA	0	0.024	NA	0	NA
chr3	121512078	121512445	5409747	5409751	bcell	chr3:121512078-121512445	U	1	0	NA	NA	0	0	NA	NA	NA	NA	0	NA	0.013	0	0	NA	0	0	NA	0	NA
chr3	121711463	121711758	5411021	5411024	bcell	chr3:121711463-121711758	U	1	0	NA	0	0	0	0	NA	0	NA	0	NA	0	0	0	0.008	0	0.039	0.005	0	0
